tarih,hafta,acilis,ovol,baseline_20g,kat,ciro_TL,grup,pos52,gun_high,kapanis,tarih_dt,hafta_etiket
2026-03-19,2026-W12,61.4,33763,6224,5.42,2073048,orta,0.57,61.9,61.3,2026-03-19,2026-03-16/2026-03-22
2026-03-23,2026-W13,61.3,14052,7716,1.82,861387,orta,0.56,63.9,63.5,2026-03-23,2026-03-23/2026-03-29
2026-03-24,2026-W13,63.8,3297,8363,0.39,210348,orta,0.62,66.3,64.1,2026-03-24,2026-03-23/2026-03-29
2026-03-25,2026-W13,66.0,12436,8425,1.48,820776,orta,0.67,66.0,62.1,2026-03-25,2026-03-23/2026-03-29
2026-03-26,2026-W13,62.1,1116,8441,0.13,69303,orta,0.58,63.15,61.15,2026-03-26,2026-03-23/2026-03-29
2026-03-27,2026-W13,61.15,5886,8297,0.71,359928,orta,0.55,62.5,61.55,2026-03-27,2026-03-23/2026-03-29
2026-03-30,2026-W14,61.55,7915,8537,0.93,487168,orta,0.56,62.15,59.9,2026-03-30,2026-03-30/2026-04-05
2026-03-31,2026-W14,60.2,1066,8772,0.12,64173,orta,0.53,60.7,59.5,2026-03-31,2026-03-30/2026-04-05
2026-04-01,2026-W14,60.0,2901,6338,0.46,174060,orta,0.53,61.45,60.4,2026-04-01,2026-03-30/2026-04-05
2026-04-02,2026-W14,60.1,2711,6314,0.43,162931,orta,0.53,62.0,60.15,2026-04-02,2026-03-30/2026-04-05
2026-04-03,2026-W14,60.15,1359,6374,0.21,81743,orta,0.53,60.4,59.55,2026-04-03,2026-03-30/2026-04-05
2026-04-06,2026-W15,59.6,629,6346,0.1,37488,orta,0.52,61.15,59.95,2026-04-06,2026-04-06/2026-04-12
2026-04-07,2026-W15,59.7,699,5906,0.12,41730,orta,0.52,60.25,58.6,2026-04-07,2026-04-06/2026-04-12
2026-04-08,2026-W15,60.45,8028,5631,1.43,485292,orta,0.53,61.05,60.25,2026-04-08,2026-04-06/2026-04-12
2026-04-09,2026-W15,60.3,372,5785,0.06,22431,orta,0.53,61.15,60.25,2026-04-09,2026-04-06/2026-04-12
2026-04-10,2026-W15,60.25,329,5330,0.06,19822,orta,0.53,63.45,62.35,2026-04-10,2026-04-06/2026-04-12
2026-04-13,2026-W16,61.5,11808,5323,2.22,726192,orta,0.55,61.95,60.45,2026-04-13,2026-04-13/2026-04-19
2026-04-14,2026-W16,60.8,2541,5849,0.43,154492,orta,0.54,62.1,61.8,2026-04-14,2026-04-13/2026-04-19
2026-04-15,2026-W16,63.0,7590,5604,1.35,478170,orta,0.59,63.75,61.55,2026-04-15,2026-04-13/2026-04-19
2026-04-16,2026-W16,62.25,3943,5950,0.66,245451,orta,0.57,62.25,60.6,2026-04-16,2026-04-13/2026-04-19
2026-04-17,2026-W16,60.6,2851,6122,0.47,172770,orta,0.53,61.55,61.15,2026-04-17,2026-04-13/2026-04-19
2026-04-20,2026-W17,59.95,11995,4576,2.62,719100,orta,0.52,60.45,59.8,2026-04-20,2026-04-20/2026-04-26
2026-04-21,2026-W17,59.95,1141,4473,0.26,68402,orta,0.52,60.85,59.05,2026-04-21,2026-04-20/2026-04-26
2026-04-22,2026-W17,59.1,3067,4365,0.7,181259,orta,0.5,59.6,58.3,2026-04-22,2026-04-20/2026-04-26
2026-04-24,2026-W17,58.2,2093,3897,0.54,121812,orta,0.48,60.2,58.45,2026-04-24,2026-04-20/2026-04-26
2026-04-27,2026-W18,58.7,202,3946,0.05,11857,orta,0.49,59.4,58.25,2026-04-27,2026-04-27/2026-05-03
2026-04-28,2026-W18,58.4,7086,3662,1.94,413822,orta,0.48,58.5,56.55,2026-04-28,2026-04-27/2026-05-03
2026-04-29,2026-W18,56.6,3070,3620,0.85,173762,orta,0.44,58.5,56.65,2026-04-29,2026-04-27/2026-05-03
2026-04-30,2026-W18,56.75,1777,3720,0.48,100844,orta,0.45,57.5,56.75,2026-04-30,2026-04-27/2026-05-03
2026-05-04,2026-W19,56.75,3032,3664,0.83,172066,orta,0.45,57.1,55.75,2026-05-04,2026-05-04/2026-05-10
2026-05-05,2026-W19,55.75,451,3680,0.12,25143,orta,0.42,56.9,56.1,2026-05-05,2026-05-04/2026-05-10
2026-05-06,2026-W19,56.15,1780,3635,0.49,99947,orta,0.43,59.6,59.2,2026-05-06,2026-05-04/2026-05-10
2026-05-07,2026-W19,59.35,4631,3692,1.25,274849,orta,0.51,65.1,65.1,2026-05-07,2026-05-04/2026-05-10
2026-05-08,2026-W19,66.8,50529,3889,12.99,3375337,orta,0.67,68.25,67.8,2026-05-08,2026-05-04/2026-05-10
2026-05-11,2026-W20,69.3,77422,6014,12.87,5365344,orta,0.73,71.3,63.8,2026-05-11,2026-05-11/2026-05-17
2026-05-12,2026-W20,63.55,25211,9866,2.56,1602159,orta,0.6,65.9,61.35,2026-05-12,2026-05-11/2026-05-17
2026-05-13,2026-W20,62.15,2895,11111,0.26,179924,orta,0.57,62.55,61.0,2026-05-13,2026-05-11/2026-05-17
2026-05-14,2026-W20,60.5,811,10665,0.08,49065,orta,0.53,61.25,60.4,2026-05-14,2026-05-11/2026-05-17
2026-05-15,2026-W20,60.4,7836,10578,0.74,473294,orta,0.53,60.65,57.65,2026-05-15,2026-05-11/2026-05-17
2026-05-18,2026-W21,57.65,4062,10591,0.38,234174,orta,0.47,59.55,57.7,2026-05-18,2026-05-18/2026-05-24
2026-05-20,2026-W21,56.75,9397,10597,0.89,533279,orta,0.45,58.2,56.2,2026-05-20,2026-05-18/2026-05-24
2026-05-21,2026-W21,57.3,2244,10924,0.21,128581,orta,0.46,60.3,55.35,2026-05-21,2026-05-18/2026-05-24
2026-05-22,2026-W21,55.0,5367,10436,0.51,295185,orta,0.41,59.4,58.45,2026-05-22,2026-05-18/2026-05-24
2026-05-25,2026-W22,58.45,2635,10648,0.25,154015,orta,0.48,60.2,59.3,2026-05-25,2026-05-25/2026-05-31
2026-05-26,2026-W22,59.9,105299,10626,9.91,6307410,orta,0.52,59.9,58.35,2026-05-26,2026-05-25/2026-05-31
2026-06-01,2026-W23,61.0,27866,15786,1.77,1699826,orta,0.54,61.0,58.65,2026-06-01,2026-06-01/2026-06-07
2026-06-02,2026-W23,59.65,8316,17170,0.48,496049,orta,0.51,59.7,58.7,2026-06-02,2026-06-01/2026-06-07
2026-06-03,2026-W23,58.7,4084,17231,0.24,239730,orta,0.49,61.1,58.85,2026-06-03,2026-06-01/2026-06-07
2026-06-04,2026-W23,58.9,2547,17282,0.15,150018,orta,0.49,60.85,59.95,2026-06-04,2026-06-01/2026-06-07
2026-06-05,2026-W23,59.15,10000,17320,0.58,591500,orta,0.5,60.25,57.9,2026-06-05,2026-06-01/2026-06-07
2026-06-08,2026-W24,57.0,3936,17669,0.22,224352,orta,0.45,58.2,57.65,2026-06-08,2026-06-08/2026-06-14
2026-06-09,2026-W24,57.65,366,17843,0.02,21099,orta,0.47,58.1,56.65,2026-06-09,2026-06-08/2026-06-14
2026-06-10,2026-W24,56.8,106,17772,0.01,6020,orta,0.45,62.3,62.3,2026-06-10,2026-06-08/2026-06-14
2026-06-11,2026-W24,64.8,148855,17546,8.48,9645804,orta,0.63,68.5,60.0,2026-06-11,2026-06-08/2026-06-14
2026-06-12,2026-W24,60.15,51328,22462,2.29,3087379,orta,0.52,60.35,57.55,2026-06-12,2026-06-08/2026-06-14
2026-06-15,2026-W25,58.0,21662,21158,1.02,1256396,orta,0.47,58.9,57.95,2026-06-15,2026-06-15/2026-06-21
2026-06-16,2026-W25,58.0,1217,20980,0.06,70586,orta,0.47,62.65,60.2,2026-06-16,2026-06-15/2026-06-21
2026-06-17,2026-W25,60.05,4878,20896,0.23,292923,orta,0.52,61.7,59.7,2026-06-17,2026-06-15/2026-06-21
2026-06-18,2026-W25,59.7,761,21100,0.04,45431,orta,0.51,62.4,61.6,2026-06-18,2026-06-15/2026-06-21
